1. Всероссийская олимпиада школьников «Высшая проба», https://olymp.hse.ru/mmo/biology , уровень 1, 9-11 класс, биология
2. Олимпиада школьников Санкт-Петербургского государственного университета, https://olympiada.spbu.ru/ , уровень 1, 5-11 класс, биология
3. Олимпиада школьников «Ломоносов», https://olymp.msu.ru/ , уровень 1, 5-11 класс, биология
4. Всероссийская Сеченовская олимпиада школьников, https://www.sechenov.ru/univers/structure/facultie/dovuz/olimpiady/ , уровень 2, 5-11 класс, биология
5. Всесибирская открытая олимпиада школьников, https://sesc.nsu.ru/olymp-vsesib/sections/ , уровень 2, 7-11 класс, биология
6. Межрегиональная олимпиада школьников «Будущие исследователи - будущее науки», http://www.unn.ru/bibn/ , уровень 2, 7-11 класс, биология
7. Московская олимпиада школьников, https://mosbio.olimpiada.ru/ , уровень 2, 5-8 класс, биология
8. Олимпиада школьников «Физтех», https://abitu.net/bio-olymp/4458768 , руовень 2, 9-11 класс, биология
9. Пироговская олимпиада для школьников по химии и биологии, https://rsmu.ru/index.php?id=2480 , уровень 2, 9-11 класс, биология
10. Турнир имени ломоносова, http://turlom.olimpiada.ru/ , уровень 3, 6-11 класс, биология
11. Всероссийская олимпиада школьников «Высшая проба», https://olymp.hse.ru/mmo/it , уровень 1, 9-11 класс, информатика
12. Всесибирская открытая олимпиада школьников, https://sesc.nsu.ru/olymp-vsesib/ , уровень 1, 7-11 класс, информатика
13. Вузовско-академическая олимпиада по информатике, https://sp.urfu.ru/vuzakadem/inform/2024/ , уровень 1, 7-11 класс, информатика
14. Международная олимпиада «Innopolis Open», https://dovuz.innopolis.university/io-informatika/ , уровень 1, 7-11 класс, информатика
15. Московская олимпиада школьников, https://mos-inf.olimpiada.ru/ , уровень 1, 6-11 класс, информатика
16. Олимпиада школьников по информатике и программированию, https://neerc.ifmo.ru/school/information/index.html , уровень 1, 11-11 класс, информатика
17. Олимпиада школьников по программированию «ТехноКубок», https://techno-cup.ru/ , уровень 1, 8-11 класс, информатика
18.Олимпиада школьников Санкт-Петербургского государственного университета, https://olympiada.spbu.ru/ , уровень 1, 7-11 класс, информатика
19. Открытая олимпиада школьников по программированию, https://inf-open.ru/2023-24/ , уровень 1, 5-11 класс, информатика
20. Олимпиада школьников «Ломоносов», https://olymp.msu.ru/ , уровень 2, 7-11 класс, информатика
21. Открытая олимпиада школьников по программированию «Когнитивные технологии», https://cups.online/ru/contests/cognitive_technologies_2023 , уровень 2, 7-11 класс, информатика
22. Международная олимпиада школьников Уральского федерального университета «Изумруд», https://izumrud.urfu.ru/ru/main/it/ , урвоень 3, 8-11 класс, информатика
23. Олимпиада школьников «Гранит науки», https://ogn.spmi.ru/ , уровень 3, 9-11 класс, информатика
24. Олимпиада школьников «Шаг в будущее», https://olymp.bmstu.ru/ru/programming-olymp , уровень 3, 8-11 класс, информатика
25. Отраслевая олимпиада школьников «Газпром», https://olympiad.gazprom.ru/#/ , уровень 3, 9-11 класс, информатика
26. Университетская олимпиада школьников «Бельчонок», https://dovuz.sfu-kras.ru/abiturientu-sfu/olimpiady/belchonok/ , уровень 3, 2-11 класс, информатика
27. Всероссийская олимпиада школьников «Высшая проба»,https://olymp.hse.ru/mmo/math , уровень 1, 7-11 класс, математика
28. Московская олимпиада школьников,https://mmo.mccme.ru/ , уровень 1, 8-11 класс, математика
29. Олимпиада Курчатов , https://olimpiadakurchatov.ru/ , уровень 1, 6-11 класс, математика
30. Олимпиада школьников «Ломоносов» ,https://olymp.msu.ru/ , уровень 1, 5-11 класс, математика
31. Олимпиада школьников «Покори Воробьевы горы!» ,https://pvg.mk.ru/ , уровень 1, 5-11 класс, математика
32. Олимпиада школьников «Физтех»,https://olymp-online.mipt.ru/ , урвоень 1, 9-11 класс, математика
33. Олимпиада школьников Санкт-Петербургского государственного университета  , https://olympiada.spbu.ru/ , уровень 1, 6-11 класс, математика
34. «Формула Единства»/«Третье тысячелетие» , https://www.formulo.org/ru/olymp/ , уровень 2, 5-11 класс, математика
35. Всесибирская открытая олимпиада школьников , https://sesc.nsu.ru/olymp-vsesib/sections/maths/ , уровень 2, 7-11 класс, математика
36. Межрегиональная олимпиада школьников имени И.Я. Верченко , https://v-olymp.ru/volimp_math/news/ , уровень 2, 8-11 класс, математика
37. Объединенная межвузовская математическая олимпиада школьников , https://olympiads.mccme.ru/ommo/24/ , уровень 2, 9-11 класс, математика
38. Отраслевая физико-математическая олимпиада школьников «Росатом» , https://olymp.mephi.ru/rosatom/about , уровень 2, 7-11 класс, математика
39. Турнир имени М.В. Ломоносова ,https://turlom.olimpiada.ru/ , уровень 2, 6-11 класс, математика
